Rank,Popularity,Score,Episodes
308,238,8.22,25
309,1743,8.22,12
310,1190,8.22,1
311,1053,8.22,1
312,366,8.21,12
313,1659,8.21,1
314,115,8.21,13
315,4680,8.21,13
316,1004,8.21,1
317,2259,8.21,26
318,2384,8.21,26
319,1159,8.21,13
320,576,8.21,4
321,1066,8.21,1
322,1108,8.21,12
323,2302,8.21,2
324,2346,8.2,96
325,2547,8.2,1
326,988,8.2,25
327,1679,8.2,1
328,308,8.2,25
329,1002,8.2,1
330,224,8.2,12
331,437,8.2,25
332,477,8.2,1
333,777,8.2,26
334,1249,8.2,13
335,459,8.19,12
336,669,8.19,24
337,126,8.19,12
338,1809,8.19,1
339,4477,8.19,1
340,410,8.19,24
341,1344,8.19,8
342,556,8.19,12
343,1576,8.19,1
344,1055,8.19,12
345,3260,8.19,13
346,679,8.19,12
347,3970,8.19,78
348,6740,8.18,1
349,53,8.18,24
350,1021,8.18,39
351,2132,8.18,26
352,395,8.18,12
353,167,8.18,11
354,49,8.17,12
355,3172,8.17,1
356,3212,8.17,1
357,4395,8.17,1
358,269,8.17,26
359,832,8.17,1
360,3578,8.17,1
361,76,8.17,13
362,843,8.16,1
363,117,8.16,26
364,1280,8.16,1
365,1793,8.16,1
366,212,8.16,1
367,14,8.16,25
368,618,8.16,Unknown
369,1037,8.16,1
370,2400,8.16,1
371,2298,8.16,1
372,409,8.16,12
373,3141,8.16,1
374,468,8.15,70
375,7048,8.15,13
376,100,8.15,291
377,864,8.15,24
378,1258,8.15,24
379,1380,8.15,12
380,1706,8.15,1
381,3057,8.15,24
382,230,8.15,11
383,1526,8.15,11
384,972,8.15,26
385,4333,8.14,30
386,214,8.14,1
387,135,8.14,24
388,598,8.14,11
389,668,8.14,12
390,3854,8.14,15
391,1080,8.14,13
392,2522,8.14,1
393,346,8.14,203
394,1860,8.14,1
395,3996,8.14,1
396,318,8.13,12
397,7347,8.13,13
398,605,8.13,1
399,4061,8.13,24
400,1238,8.13,12
401,2257,8.13,1
402,3637,8.13,1
403,5472,8.13,1
404,2359,8.13,1
405,89,8.13,24
406,1690,8.13,1
407,961,8.12,25
408,917,8.12,1
409,1269,8.12,38
410,73,8.12,170
411,851,8.12,1
412,2471,8.12,1
413,2621,8.12,1
414,991,8.12,12
415,78,8.12,24
416,70,8.12,51
417,4218,8.12,4
418,37,8.12,10
419,1822,8.12,1
420,919,8.12,11
421,779,8.12,3
422,1150,8.11,3
423,4844,8.11,52
424,6308,8.11,13
425,3128,8.11,1
426,3425,8.11,1
427,1873,8.11,7
428,4526,8.11,13
429,15,8.11,12
430,2923,8.11,1
431,1047,8.11,6
432,93,8.11,24
433,113,8.11,13
434,5573,8.11,1
435,18,8.11,25
436,2414,8.11,2
437,483,8.11,4
438,2426,8.11,12
439,112,8.1,11
440,35,8.1,22
441,895,8.1,75
442,7324,8.1,13
443,3415,8.1,1
444,5163,8.1,12
445,2244,8.1,1
446,87,8.1,22
447,116,8.1,24
448,758,8.1,12
449,713,8.1,1
450,1851,8.1,1
451,1505,8.09,3
452,25,8.09,25
453,737,8.09,11
454,2752,8.09,1
455,698,8.09,12
456,2843,8.09,26
457,1345,8.09,25
458,2207,8.09,13
459,791,8.09,25
460,378,8.09,12
461,1536,8.09,12
462,892,8.08,21
463,2789,8.08,1
464,1459,8.08,24
465,5801,8.08,8
466,24,8.08,13
467,149,8.08,25
468,3075,8.08,1
469,2586,8.08,1
470,5087,8.08,2
471,1451,8.08,75
472,1492,8.08,14
473,311,8.08,13
474,3082,8.08,1
475,109,8.08,25
476,796,8.08,1
477,513,8.08,10
478,2617,8.07,1
479,417,8.07,12
480,538,8.07,12
481,3247,8.07,1
482,3620,8.07,1
483,362,8.07,24
484,444,8.07,50
485,889,8.07,2
486,177,8.07,24
487,259,8.07,13
488,706,8.07,50
489,781,8.06,1
490,2277,8.06,2
491,3926,8.06,63
492,1376,8.06,26
493,670,8.06,1
494,4371,8.06,28
495,3178,8.06,51
496,5401,8.05,1
497,6266,8.05,13
498,6378,8.05,1
499,48,8.05,24
500,2407,8.05,102
501,262,8.05,12
502,3517,8.05,10
503,372,8.05,1
504,962,8.04,25
505,393,8.04,1
506,2580,8.04,13
507,150,8.04,12
508,413,8.04,12
509,911,8.04,1
510,3472,8.04,13
511,2639,8.04,1
512,1128,8.04,6
513,703,8.04,12
514,1405,8.04,45
515,937,8.04,1
516,595,8.04,1
517,342,8.04,24
518,195,8.03,24
519,1942,8.03,25
520,147,8.03,12
521,768,8.03,5
522,248,8.03,103
523,2411,8.03,1
524,2497,8.03,1
